REGION;PROVINCIA;NOMBRE COMUNA;DISTRITO;LOCALIDAD;ENTIDAD;CATEGORIA;Número total de personas;Total de Hombres;Total de Mujeres;Total de personas de 0 a 5 años;Total de personas de 6 a 14 años;Total de personas de 15 a 64 años;Total de personas de 65 y más años;Total personas migrantes que residen habitualmente en el territorio nacional;Total personas que se consideran pertenecientes a algún pueblo indígena u originario;Total de viviendas particulares;Total viviendas colectivas;Total viviendas ocupadas con moradores presentes;Total viviendas;Cantidad de hogares;Cantidad de viviendas tipo casa;Cantidad de viviendas tipo departamento en edificio;Cantidad de viviendas tipo vivienda tradicional indígena (ruka, pae pae u otras);Cantidad de viviendas tipo pieza en casa antigua o en conventillo;Cantidad de viviendas tipo mediagua, mejora, rancho o choza;Cantidad de viviendas tipo móvil (carpa, casa rodante o similar);Cantidad de viviendas tipo otro tipo de vivienda particular;Cantidad de viviendas con materialidad en paredes de Hormigón armado;Cantidad de viviendas con materialidad en paredes de albañilería: bloque de cemento, piedra o ladrillo;Cantidad de viviendas con materialidad en paredes de tabique forrado por ambas caras (madera o acero);Cantidad de viviendas con materialidad en paredes de tabique sin forro interior (madera u otro);Cantidad de viviendas con materialidad en paredes de adobe, barro, quincha, pirca u otro artesanal tradicional;Cantidad de viviendas con materialidad en paredes de materiales precarios (lata, cartón, plástico, etc.);Cantidad de viviendas con materialidad de techo tejas o tejuelas de arcilla, metálicas, de cemento, de madera, asfálticas o plásticas;Cantidad de viviendas con materialidad de techo losa hormigón;Cantidad de viviendas con materialidad de techo planchas metálicas de zinc, cobre, etc. O fibrocemento (tipo pizarreño);Cantidad de viviendas con materialidad de techo fonolita o plancha de fieltro embreado;Cantidad de viviendas con materialidad de techo paja, coirón, totora o caña;Cantidad de viviendas con materialidad de techo materiales precarios (lata, cartón, plástico, etc.);Cantidad de viviendas con materialidad de techo sin cubierta sólida de techo;Cantidad de viviendas con materialidad de piso parquet, piso flotante, cerámico, madera, alfombra, flexit, cubrepiso u otro similar, sobre radier o vigas de madera;Viviendas con materialidad de piso radier sin revestimiento;Viviendas con materialidad de piso baldosa de cemento;Viviendas con materialidad de piso capa de cemento sobre tierra;Viviendas con materialidad de piso tierra;Total viviendas con materialidad aceptable;Total viviendas con materialidad recuperable;Total viviendas con materialidad irrecuperable;Cantidad de viviendas con origen del agua por red pública;Cantidad de viviendas con origen del agua por pozo o noria;Cantidad de viviendas con origen del agua por camión aljibe;Cantidad de viviendas con origen del agua por río, vertiente, estero, canal, lago, etc.;x;y
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"4";TANILVORO;TANILVORO;Parcela-Hijuela;191;96;95;10;28;126;27;Indeterminado;Indeterminado;"77";"0";"59";"77";"60";"77";"0";"0";"0";"0";"0";"0";"3";"5";"37";"11";"0";"3";"11";"0";"47";"0";"0";"0";"0";"51";"2";"3";"3";"0";"38";"17";"3";"57";"2";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"2";LA PALMA;LA PALMA;Parcela-Hijuela;193;96;97;Indeterminado;29;Indeterminado;18;5;Indeterminado;"63";"0";"57";"63";"58";"59";"0";"0";"0";"4";"0";"0";"1";"10";"31";"15";"0";"0";"1";"0";"56";"0";"0";"0";"0";"38";"1";"0";"18";"0";"36";"21";"0";"2";"35";"20";"0";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"4";COLEAL NORTE;CAMINO COLEAL NORTE;Parcela-Hijuela;27;13;14;Indeterminado;Indeterminado;20;Indeterminado;0;Indeterminado;"12";"0";"9";"12";"9";"12";"0";"0";"0";"0";"0";"0";"1";"1";"4";"1";"0";"2";"2";"0";"7";"0";"0";"0";"0";"8";"0";"0";"1";"0";"5";"2";"2";"8";"1";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"1";LAS PATAGUAS;LAS PATAGUAS;Parcela-Hijuela;96;52;44;6;12;71;7;0;Indeterminado;"44";"0";"32";"44";"32";"43";"0";"0";"0";"1";"0";"0";"0";"7";"13";"9";"1";"2";"2";"0";"30";"0";"0";"0";"0";"25";"1";"2";"3";"0";"17";"12";"2";"0";"31";"0";"1";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"11";EL CARMEN DE CATO;EL CARMEN DE CATO;Parcela-Hijuela;210;110;100;12;29;145;24;0;13;"78";"0";"65";"78";"65";"77";"0";"0";"0";"1";"0";"0";"0";"9";"45";"10";"0";"1";"5";"0";"60";"0";"0";"0";"0";"52";"3";"8";"1";"1";"46";"17";"2";"50";"6";"9";"0";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"12";CHACAYAL DE CATO;CHACAYAL DE CATO;Fundo-Estancia-Hacienda;17;8;9;Indeterminado;Indeterminado;12;Indeterminado;Indeterminado;Indeterminado;"9";"0";"7";"9";"7";"9";"0";"0";"0";"0";"0";"0";"2";"0";"4";"1";"0";"0";"3";"0";"4";"0";"0";"0";"0";"7";"0";"0";"0";"0";"6";"1";"0";"0";"7";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"1";LAS PATAGUAS;INDETERMINADA;Indeterminada;20;10;10;0;Indeterminado;16;Indeterminado;0;Indeterminado;"8";"0";"7";"8";"7";"8";"0";"0";"0";"0";"0";"0";"0";"0";"4";"1";"2";"0";"1";"0";"6";"0";"0";"0";"0";"7";"0";"0";"0";"0";"4";"3";"0";"0";"7";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"2";CULENAR;INDETERMINADA;Indeterminada;44;21;23;Indeterminado;Indeterminado;30;7;0;Indeterminado;"21";"0";"18";"21";"18";"18";"0";"0";"0";"3";"0";"0";"0";"4";"14";"0";"0";"0";"1";"0";"17";"0";"0";"0";"0";"18";"0";"0";"0";"0";"18";"0";"0";"16";"2";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"2";FRUTILLARES;INDETERMINADA;Indeterminada;229;113;116;18;24;155;32;Indeterminado;Indeterminado;"104";"0";"82";"104";"82";"102";"0";"0";"0";"2";"0";"0";"7";"27";"27";"18";"1";"2";"11";"0";"71";"0";"0";"0";"0";"66";"7";"7";"1";"1";"53";"26";"3";"41";"40";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"2";GENERAL LAGOS;INDETERMINADA;Indeterminada;17;9;8;Indeterminado;Indeterminado;13;0;0;0;"13";"0";"8";"13";"8";"13";"0";"0";"0";"0";"0";"0";"0";"0";"4";"3";"1";"0";"2";"0";"6";"0";"0";"0";"0";"8";"0";"0";"0";"0";"4";"4";"0";"1";"7";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"2";LA ESPERANZA;INDETERMINADA;Indeterminada;18;10;8;Indeterminado;Indeterminado;10;4;0;0;"9";"0";"7";"9";"7";"8";"0";"0";"0";"1";"0";"0";"0";"2";"3";"2";"0";"0";"2";"0";"5";"0";"0";"0";"0";"6";"0";"0";"1";"0";"4";"3";"0";"1";"6";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"2";LA PALMA;INDETERMINADA;Indeterminada;12;6;6;Indeterminado;0;Indeterminado;0;0;Indeterminado;"6";"0";"5";"6";"5";"6";"0";"0";"0";"0";"0";"0";"0";"4";"1";"0";"0";"0";"2";"0";"2";"0";"0";"0";"0";"4";"0";"1";"0";"0";"3";"1";"0";"0";"5";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"2";MONTEBELLO;INDETERMINADA;Indeterminada;100;53;47;7;13;69;11;0;Indeterminado;"51";"0";"36";"51";"36";"49";"0";"0";"0";"2";"0";"0";"0";"5";"22";"9";"0";"0";"0";"0";"32";"0";"0";"0";"4";"25";"1";"3";"6";"0";"21";"10";"4";"0";"31";"4";"0";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"2";PASO ALEJO;INDETERMINADA;Indeterminada;315;160;155;Indeterminado;Indeterminado;215;38;Indeterminado;16;"134";"0";"110";"134";"112";"131";"0";"0";"1";"2";"0";"0";"16";"24";"54";"9";"5";"1";"35";"0";"72";"2";"0";"1";"0";"99";"3";"4";"1";"1";"87";"18";"2";"0";"110";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"2";RANQUINILAHUE;INDETERMINADA;Indeterminada;20;Indeterminado;Indeterminado;Indeterminado;Indeterminado;12;Indeterminado;0;4;"7";"0";"7";"7";"7";"7";"0";"0";"0";"0";"0";"0";"0";"3";"3";"0";"1";"0";"2";"0";"5";"0";"0";"0";"0";"6";"1";"0";"0";"0";"5";"2";"0";"0";"7";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"3";CAMINO CHILLÁN A TANILVORO;INDETERMINADA;Indeterminada;24;9;15;Indeterminado;5;15;Indeterminado;Indeterminado;0;"16";"0";"9";"16";"9";"16";"0";"0";"0";"0";"0";"0";"0";"2";"5";"2";"0";"0";"2";"0";"7";"0";"0";"0";"0";"8";"1";"0";"0";"0";"6";"3";"0";"4";"4";"0";"1";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"3";CHILLINHUE;INDETERMINADA;Indeterminada;11;6;5;Indeterminado;0;Indeterminado;0;0;0;"4";"0";"4";"4";"4";"4";"0";"0";"0";"0";"0";"0";"0";"1";"2";"1";"0";"0";"0";"0";"4";"0";"0";"0";"0";"2";"1";"0";"1";"0";"1";"3";"0";"1";"3";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"3";EL CHINGUE;INDETERMINADA;Indeterminada;46;18;28;Indeterminado;5;36;Indeterminado;0;Indeterminado;"13";"0";"12";"13";"13";"13";"0";"0";"0";"0";"0";"0";"0";"1";"9";"1";"1";"0";"1";"0";"11";"0";"0";"0";"0";"10";"2";"0";"0";"0";"9";"3";"0";"8";"4";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"3";HÉROES DE LA CONCEPCIÓN;INDETERMINADA;Indeterminada;129;58;71;7;16;85;21;0;6;"54";"0";"44";"54";"46";"53";"0";"0";"0";"1";"0";"0";"1";"18";"19";"6";"0";"0";"9";"0";"35";"0";"0";"0";"0";"41";"1";"2";"0";"0";"36";"8";"0";"31";"9";"0";"4";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"3";PASO ALEJO;INDETERMINADA;Indeterminada;325;158;167;27;45;211;42;8;19;"134";"0";"103";"134";"103";"130";"0";"1";"0";"2";"0";"1";"17";"44";"36";"5";"0";"0";"58";"0";"42";"1";"0";"1";"0";"87";"2";"14";"0";"0";"79";"22";"1";"0";"100";"1";"1";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"3";TALQUIPÉN;INDETERMINADA;Indeterminada;253;124;129;17;29;168;39;0;6;"88";"0";"74";"88";"75";"87";"0";"0";"0";"1";"0";"0";"3";"22";"43";"6";"0";"0";"5";"0";"67";"1";"0";"0";"0";"69";"2";"2";"0";"0";"65";"8";"0";"65";"8";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"4";INDETERMINADA;INDETERMINADA;Indeterminada;36;19;17;Indeterminado;Indeterminado;21;8;0;0;"17";"0";"12";"17";"12";"17";"0";"0";"0";"0";"0";"0";"2";"2";"8";"0";"0";"0";"3";"0";"9";"0";"0";"0";"0";"8";"2";"2";"0";"0";"8";"4";"0";"0";"9";"0";"3";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"5";COLEAL NORTE;INDETERMINADA;Indeterminada;20;11;9;Indeterminado;Indeterminado;13;Indeterminado;0;Indeterminado;"14";"0";"7";"14";"7";"12";"0";"0";"0";"2";"0";"0";"0";"0";"3";"4";"0";"0";"0";"0";"7";"0";"0";"0";"0";"4";"2";"0";"1";"0";"3";"4";"0";"0";"5";"2";"0";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"5";LOS PELLINES;INDETERMINADA;Indeterminada;29;18;11;0;Indeterminado;24;Indeterminado;0;Indeterminado;"23";"0";"8";"23";"8";"17";"0";"0";"0";"1";"0";"5";"0";"2";"1";"3";"0";"1";"1";"0";"6";"0";"0";"0";"0";"4";"1";"0";"0";"1";"2";"3";"1";"0";"0";"1";"6";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"5";RELBUNCO;INDETERMINADA;Indeterminada;73;37;36;7;8;49;9;0;Indeterminado;"30";"0";"26";"30";"27";"25";"0";"0";"0";"4";"0";"1";"0";"3";"18";"4";"0";"1";"0";"0";"26";"0";"0";"0";"0";"24";"2";"0";"0";"0";"20";"5";"1";"0";"19";"5";"2";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"6";CANCHA DE PARRA;INDETERMINADA;Indeterminada;121;71;50;6;7;79;29;0;6;"67";"0";"50";"67";"50";"65";"0";"0";"0";"2";"0";"0";"0";"1";"44";"4";"0";"1";"7";"0";"43";"0";"0";"0";"0";"44";"1";"1";"2";"1";"41";"6";"2";"36";"12";"2";"0";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"6";LA ESCOBA;INDETERMINADA;Indeterminada;11;7;4;Indeterminado;Indeterminado;7;Indeterminado;0;0;"9";"0";"5";"9";"5";"9";"0";"0";"0";"0";"0";"0";"0";"0";"2";"3";"0";"0";"0";"0";"5";"0";"0";"0";"0";"4";"0";"1";"0";"0";"1";"4";"0";"0";"5";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"6";LAS LUMAS;INDETERMINADA;Indeterminada;13;8;5;Indeterminado;Indeterminado;9;Indeterminado;0;Indeterminado;"10";"0";"6";"10";"6";"10";"0";"0";"0";"0";"0";"0";"0";"0";"4";"2";"0";"0";"0";"0";"6";"0";"0";"0";"0";"5";"0";"1";"0";"0";"3";"3";"0";"0";"2";"0";"4";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"6";TIERRAS BLANCAS;INDETERMINADA;Indeterminada;29;16;13;0;Indeterminado;19;Indeterminado;0;0;"16";"0";"11";"16";"11";"16";"0";"0";"0";"0";"0";"0";"1";"0";"7";"3";"0";"0";"1";"0";"10";"0";"0";"0";"0";"9";"0";"2";"0";"0";"6";"5";"0";"6";"3";"2";"0";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"8";FLORES;INDETERMINADA;Indeterminada;23;14;9;Indeterminado;Indeterminado;16;Indeterminado;0;Indeterminado;"11";"0";"6";"11";"6";"11";"0";"0";"0";"0";"0";"0";"0";"0";"4";"2";"0";"0";"0";"0";"6";"0";"0";"0";"0";"6";"0";"0";"0";"0";"4";"2";"0";"0";"2";"0";"4";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"8";LAS VEGUILLAS;INDETERMINADA;Indeterminada;29;17;12;Indeterminado;Indeterminado;18;7;Indeterminado;Indeterminado;"14";"0";"9";"14";"9";"14";"0";"0";"0";"0";"0";"0";"0";"0";"7";"2";"0";"0";"0";"0";"9";"0";"0";"0";"0";"9";"0";"0";"0";"0";"7";"2";"0";"0";"0";"0";"9";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"8";VALLE DE ALICO;INDETERMINADA;Indeterminada;13;7;6;Indeterminado;0;8;Indeterminado;0;Indeterminado;"15";"0";"7";"15";"7";"15";"0";"0";"0";"0";"0";"0";"0";"0";"6";"0";"1";"0";"1";"0";"6";"0";"0";"0";"0";"7";"0";"0";"0";"0";"6";"1";"0";"0";"0";"0";"7";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"9";LA LEONERA;INDETERMINADA;Indeterminada;26;15;11;Indeterminado;7;13;Indeterminado;0;0;"13";"0";"9";"13";"9";"13";"0";"0";"0";"0";"0";"0";"0";"0";"9";"0";"0";"0";"2";"0";"7";"0";"0";"0";"0";"7";"2";"0";"0";"0";"7";"2";"0";"0";"5";"3";"1";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"9";INDETERMINADA;INDETERMINADA;Indeterminada;205;107;98;27;19;138;21;0;Indeterminado;"76";"0";"59";"76";"59";"75";"0";"0";"0";"1";"0";"0";"1";"1";"48";"9";"0";"0";"4";"0";"55";"0";"0";"0";"0";"51";"2";"6";"0";"0";"45";"14";"0";"7";"49";"0";"3";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"10";BUSTAMANTE;INDETERMINADA;Indeterminada;12;7;5;Indeterminado;0;10;Indeterminado;0;0;"4";"0";"4";"4";"4";"4";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"1";"0";"0";"4";"0";"0";"0";"0";"4";"0";"0";"0";"0";"2";"1";"1";"2";"2";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"11";BUREO ALTO;INDETERMINADA;Indeterminada;12;6;6;Indeterminado;0;8;Indeterminado;0;0;"11";"0";"6";"11";"6";"10";"0";"0";"0";"1";"0";"0";"0";"0";"2";"3";"1";"0";"1";"0";"5";"0";"0";"0";"0";"6";"0";"0";"0";"0";"2";"4";"0";"0";"3";"0";"3";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"11";CAJÓN DEL ÑUBLE;INDETERMINADA;Indeterminada;20;12;8;Indeterminado;Indeterminado;14;Indeterminado;0;10;"17";"0";"8";"17";"8";"17";"0";"0";"0";"0";"0";"0";"1";"2";"5";"0";"0";"0";"1";"0";"7";"0";"0";"0";"0";"8";"0";"0";"0";"0";"8";"0";"0";"0";"1";"0";"7";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"11";SAN ISIDRO;INDETERMINADA;Indeterminada;14;7;7;Indeterminado;Indeterminado;11;0;0;0;"5";"0";"4";"5";"4";"5";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"1";"0";"0";"0";"4";"0";"0";"0";"0";"4";"0";"0";"0";"0";"1";"3";"0";"0";"0";"1";"3";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"11";SAN RAMÓN;INDETERMINADA;Indeterminada;128;64;64;10;13;91;14;0;Indeterminado;"43";"0";"37";"43";"37";"42";"0";"0";"0";"1";"0";"0";"0";"5";"32";"0";"0";"0";"0";"0";"37";"0";"0";"0";"0";"35";"0";"1";"1";"0";"35";"2";"0";"31";"6";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"12";SAN ANTONIO DE CATO;INDETERMINADA;Indeterminada;103;55;48;8;13;78;4;Indeterminado;Indeterminado;"35";"0";"31";"35";"32";"35";"0";"0";"0";"0";"0";"0";"2";"3";"13";"3";"1";"9";"2";"0";"29";"0";"0";"0";"0";"26";"4";"0";"1";"0";"14";"8";"9";"21";"10";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;COIHUECO;"12";TRES ESQUINAS;INDETERMINADA;Indeterminada;80;42;38;6;10;52;12;Indeterminado;0;"29";"0";"25";"29";"25";"29";"0";"0";"0";"0";"0";"0";"0";"4";"12";"6";"1";"2";"0";"0";"25";"0";"0";"0";"0";"21";"0";"3";"1";"0";"13";"10";"2";"6";"18";"0";"1";;
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"3";SAN JORGE;SAN JORGE;Parcela-Hijuela;273;134;139;19;35;178;41;Indeterminado;Indeterminado;"106";"0";"91";"106";"92";"104";"0";"0";"0";"2";"0";"0";"3";"55";"18";"12";"2";"1";"6";"0";"85";"0";"0";"0";"0";"82";"1";"5";"2";"1";"71";"18";"2";"80";"10";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"3";SAN PEDRO;SAN PEDRO;Parcela-Hijuela;34;Indeterminado;Indeterminado;Indeterminado;Indeterminado;Indeterminado;Indeterminado;Indeterminado;Indeterminado;"12";"0";"12";"12";"12";"11";"0";"0";"0";"1";"0";"0";"0";"6";"4";"0";"1";"1";"0";"0";"12";"0";"0";"0";"0";"10";"1";"0";"1";"0";"9";"2";"1";"10";"2";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"3";SANTA JOSEFINA;SANTA JOSEFINA;Parcela-Hijuela;238;119;119;15;28;154;41;0;5;"92";"0";"87";"92";"88";"89";"0";"0";"0";"3";"0";"0";"6";"31";"19";"19";"8";"3";"6";"0";"79";"0";"0";"0";"0";"69";"7";"5";"0";"5";"44";"34";"7";"65";"22";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"3";TIUQUILEMU;TIUQUILEMU ABAJO;Parcela-Hijuela;177;77;100;13;18;111;35;Indeterminado;11;"87";"0";"74";"87";"75";"86";"0";"0";"0";"1";"0";"0";"8";"39";"12";"4";"11";"0";"11";"0";"62";"0";"0";"1";"0";"62";"7";"2";"2";"1";"50";"22";"2";"54";"20";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"3";TIUQUILEMU;TIUQUILEMU ARRIBA;Parcela-Hijuela;182;87;95;9;20;119;34;0;Indeterminado;"75";"0";"64";"75";"64";"72";"0";"0";"0";"3";"0";"0";"14";"29";"19";"2";"0";"0";"1";"0";"63";"0";"0";"0";"0";"55";"6";"3";"0";"0";"55";"9";"0";"54";"10";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"3";TIUQUILEMU;TIUQUILEMU CENTRO;Parcela-Hijuela;117;63;54;10;11;77;19;Indeterminado;Indeterminado;"59";"0";"50";"59";"50";"56";"0";"0";"0";"2";"0";"1";"1";"21";"17";"5";"5";"1";"6";"0";"44";"0";"0";"0";"0";"44";"4";"1";"0";"1";"37";"11";"2";"30";"20";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"3";VIRHUÍN;VIRHUÍN;Caserío;526;273;253;37;57;330;102;Indeterminado;9;"205";"0";"180";"205";"185";"202";"0";"0";"0";"3";"0";"0";"7";"94";"45";"18";"13";"1";"15";"0";"164";"0";"0";"0";"0";"152";"5";"7";"11";"4";"126";"47";"5";"155";"20";"3";"1";;
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"3";VIRHUÍN;CAMINO VIEJO;Parcela-Hijuela;49;20;29;4;4;Indeterminado;Indeterminado;Indeterminado;Indeterminado;"16";"0";"16";"16";"16";"16";"0";"0";"0";"0";"0";"0";"0";"9";"5";"0";"2";"0";"4";"0";"12";"0";"0";"0";"0";"12";"2";"1";"0";"1";"12";"3";"1";"2";"14";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"3";VIRHUÍN;LOS MAITENES;Parcela-Hijuela;244;134;110;14;27;161;42;0;Indeterminado;"110";"0";"90";"110";"90";"108";"0";"0";"0";"2";"0";"0";"3";"36";"28";"18";"5";"0";"11";"0";"79";"0";"0";"0";"0";"79";"2";"3";"5";"1";"59";"30";"1";"88";"1";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"3";LAS ROSAS;LAS ROSAS;Parcela-Hijuela;60;29;31;Indeterminado;Indeterminado;35;17;0;0;"28";"0";"23";"28";"23";"27";"0";"0";"0";"0";"0";"1";"0";"8";"14";"0";"1";"0";"2";"0";"21";"0";"0";"0";"0";"16";"5";"1";"1";"0";"16";"7";"0";"15";"7";"1";"0";;
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"4";LLAHUIMÁVIDA;LLAHUIMÁVIDA;Parcela-Hijuela;66;33;33;Indeterminado;Indeterminado;43;14;0;0;"30";"0";"25";"30";"25";"28";"0";"0";"0";"2";"0";"0";"1";"9";"8";"3";"3";"0";"0";"0";"23";"1";"0";"0";"0";"13";"8";"1";"1";"1";"12";"11";"1";"0";"19";"6";"0";;
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"4";LLAHUIMÁVIDA;EL PRADO;Fundo-Estancia-Hacienda;0;0;0;Indeterminado;Indeterminado;0;0;0;0;"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"4";FLOR DE ÑIQUÉN;FLOR DE ÑIQUÉN;Parcela-Hijuela;9;5;4;0;0;Indeterminado;Indeterminado;0;0;"7";"0";"5";"7";"6";"5";"0";"0";"0";"2";"0";"0";"2";"2";"0";"1";"0";"0";"0";"0";"5";"0";"0";"0";"0";"4";"0";"1";"0";"0";"3";"2";"0";"0";"5";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"4";HUENUTIL DEL PEUMO;HUENUTIL DEL PEUMO;Parcela-Hijuela;201;101;100;16;19;129;37;Indeterminado;8;"80";"0";"70";"80";"71";"75";"0";"0";"1";"4";"0";"0";"4";"25";"30";"7";"4";"0";"2";"0";"67";"1";"0";"0";"0";"51";"12";"4";"2";"1";"46";"23";"1";"63";"7";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"4";ÑIQUÉN;ÑIQUÉN;Caserío;273;131;142;Indeterminado;28;173;Indeterminado;7;6;"117";"1";"103";"118";"105";"113";"0";"0";"0";"4";"0";"0";"6";"39";"46";"8";"3";"0";"3";"0";"100";"0";"0";"0";"0";"82";"8";"10";"3";"0";"72";"30";"0";"101";"1";"1";"0";;
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"4";OTINHUE ARRIBA;LA CORONTA;Parcela-Hijuela;21;8;13;Indeterminado;Indeterminado;10;8;Indeterminado;4;"10";"0";"7";"10";"7";"8";"0";"0";"0";"2";"0";"0";"0";"4";"2";"0";"1";"0";"1";"0";"6";"0";"0";"0";"0";"6";"0";"0";"0";"1";"6";"0";"1";"0";"7";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"4";SAN PEDRO DE ÑIQUÉN;SAN PEDRO;Parcela-Hijuela;62;33;29;4;5;41;12;0;0;"36";"0";"25";"36";"25";"35";"0";"0";"0";"0";"0";"1";"0";"10";"12";"1";"2";"0";"3";"0";"22";"0";"0";"0";"0";"13";"4";"6";"1";"1";"13";"11";"1";"24";"1";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"4";PAQUE;PAQUE NORTE;Parcela-Hijuela;267;137;130;16;31;177;43;0;Indeterminado;"124";"0";"95";"124";"95";"118";"0";"0";"0";"5";"0";"1";"18";"29";"35";"9";"2";"2";"4";"0";"90";"1";"0";"0";"0";"72";"8";"4";"7";"3";"66";"23";"5";"91";"2";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"4";PAQUE;PAQUE SUR;Parcela-Hijuela;28;Indeterminado;Indeterminado;Indeterminado;Indeterminado;Indeterminado;Indeterminado;0;0;"11";"0";"9";"11";"10";"11";"0";"0";"0";"0";"0";"0";"2";"0";"6";"0";"1";"0";"1";"0";"8";"0";"0";"0";"0";"8";"1";"0";"0";"0";"7";"2";"0";"0";"9";"0";"0";;
REGIÓN DE ÑUBLE;PUNILLA;ÑIQUÉN;"4";PAQUE;PAQUE ABAJO;Parcela-Hijuela;40;22;18;Indeterminado;Indeterminado;21;13;0;Indeterminado;"20";"0";"16";"20";"16";"18";"0";"0";"0";"2";"0";"0";"1";"6";"7";"0";"2";"0";"2";"0";"14";"0";"0";"0";"0";"11";"0";"5";"0";"0";"9";"7";"0";"1";"15";"0";"0";;
